title,price,brand,Model,frequency,RAM
MSI nVidia GeForce RTX 3090 Ti SUPRIM X PCI-E 24576Mb GDDR6X 384 Bit Retail,192680,MSI,nVidia GeForce RTX 3090 Ti,1965,24576
PNY Quadro RTX A2000 VCNRTXA2000-12GB-SB PCI-E 12288Mb GDDR6 192 Bit Retail,77720,PNY,Quadro RTX A2000,1200,12288
PNY Quadro RTX A2000 VCNRTXA2000-12GB-PB PCI-E 12288Mb GDDR6 192 Bit Retail,83240,PNY,Quadro RTX A2000,1200,12288
"NVIDIA TESLA,A2,16GB,PCIE (388454)",104160,PNY,nan,nan,nan
PCIE16 RTX A4000 16GB 256B VCNRTXA4000-BLK PNY,107590,PNY,nan,nan,nan
GigaByte Radeon RX 6650 XT GAMING OC PCI-E 8192Mb GDDR6 128 Bit Retail GV-R665XTGAMING OC-8GD,42230,GigaByte,Radeon RX 6650 XT,2694,8192
MSI nVidia GeForce RTX 3070 VENTUS 3X PLUS 8G OC LHR PCI-E 8192Mb GDDR6 256 Bit Retail,68710,MSI,nVidia GeForce RTX 3070,1755,8192
GigaByte nVidia GeForce RTX 3090 Ti GAMING OC PCI-E 24576Mb GDDR6X 384 Bit Retail GV-N309TGAMING OC-24GD,177960,GigaByte,nVidia GeForce RTX 3090 Ti,1905,24576
ASUS nVidia GeForce RTX 3090 Ti TUF Gaming OC PCI-E 24576Mb GDDR6X 384 Bit Retail,205760,ASUS,nVidia GeForce RTX 3090 Ti,1950,24576
MSI GeForce GTX 1650 VENTUS XS PCI-E 4096Mb GDDR5 128 Bit Retail (GTX 1650 VENTUS XS 4G OCV1),18160,MSI,GeForce GTX 1650,1695,4096
MSI nVidia GeForce RTX 3060 Ti VENTUS 3X 8G OC LHR PCI-E 8192Mb GDDR6 256 Bit Retail,62010,MSI,nVidia GeForce RTX 3060 Ti,1695,8192
GigaByte nVidia GeForce RTX 3060 EAGLE OC LHR PCI-E 12288Mb GDDR6 192 Bit Retail (GV-N3060EAGLE OC-12GD 2.0),47420,GigaByte,nVidia GeForce RTX 3060,1807,12288
Gigabyte PCI-E GV-N1656D6-4GL NVIDIA GeForce GTX 1650 4096Mb 128 GDDR6 1590/12000 DVIx1/HDMIx2/DPx1/HDCP Ret low profile,19540,GigaByte,nan,nan,nan
