title,price,brand,Model,frequency,RAM
MSI nVidia GeForce RTX 2060 VENTUS GP OC PCI-E 6144Mb GDDR6 192 Bit Retail,36650,MSI,nVidia GeForce RTX 2060,1710,6144
"NVIDIA TESLA,A2,16GB,PCIE (388454)",101610,PNY,nan,nan,nan
MSI nVidia GeForce RTX 3080 VENTUS 3X PLUS PCI-E 12288Mb GDDR6X 384 Bit Retail 602-V389-301S,97470,MSI,nVidia GeForce RTX 3080,1740,"gddr6x/"" class=""pseudo"
KFA2 PCIE nVidia GeForce RTX 3060 CORE 12GB (192bit/GDDR6/HDMI/DPx3/RTL) (36NOL7MD1VOK),45700,KFA2,nan,nan,nan
Palit nVidia GeForce RTX 3080 Ti GameRock OC PCI-E 12288Mb GDDR6X 384 Bit Retail (NED308TT19KB-1020G),126820,Palit,1365,10240,"gddr6x/"" class=""pseudo"
ASUS nVidia GeForce RTX 3090 Ti TUF Gaming OC PCI-E 24576Mb GDDR6X 384 Bit Retail,213900,ASUS,nVidia GeForce RTX 3090 Ti,1950,24576
MSI GeForce GTX 1660 SUPER GAMING PCI-E 6144Mb GDDR6 192 Bit Retail (GTX 1660 SUPER GAMING),30370,MSI,GeForce GTX 1660 SUPER,1785,6144
PCIE16 RTX3070 8GB LHR RTX 3070 X BLACK 8GB KFA2,63860,nan,nan,nan,nan
Palit nVidia GeForce RTX 3090 GamingPro PCI-E 24576Mb GDDR6X 384 Bit Retail (NED3090019SB-132BA),156090,Palit,nVidia GeForce RTX 3090,1395,24576
DUAL-RTX3060-12G-V2,48440,nan,nan,nan,nan
MSI Radeon RX 6700 XT MECH 2X PCI-E 12288Mb GDDR6 192 Bit Retail (RX 6700 XT MECH 2X 12G ),59330,MSI,Radeon RX 6700 XT,2474,12288
ASUS nVidia GeForce RTX 3090 ROG STRIX OC PCI-E 24576Mb GDDR6X 384 Bit Retail,180740,ASUS,nVidia GeForce RTX 3090,1860,24576
Palit nVidia GeForce RTX 3070 GameRock LHR PCI-E 8192Mb GDDR6 256 Bit Retail (NE63070019P2-1040G),65690,Palit,nVidia GeForce RTX 3070,1500,8192
PCIE16 GT730 1GB DDR3 AF730-1024D3L3-V3 AFOX,3530,nan,nan,nan,nan
MSI nVidia GeForce RTX 2060 SUPER VENTUS GP OC PCI-E 8192Mb GDDR6 256 Bit Retail (RTX 2060 SUPER VENTUS GP OC),43300,MSI,nVidia GeForce RTX 2060 SUPER,1665,8192
ASUS A10 TESLA A10 PCI-E 24576Mb GDDR6 384 Bit Retail,243890,ASUS,A10,1563,24576
Palit GeForce GT 710 PA-GT710-2GD3H PCI-E 2048Mb 64 Bit Retail (PA-GT710-2GD3H)  NEAT7100HD46-2080H,4240,Palit,GeForce GT 710,954,2048
AMD Radeon Pro W6800 100-506157 PCI-E 32768Mb GDDR6 256 Bit Retail,227290,AMD,Radeon Pro W6800,1575,32768
Ninja R9 370 (1024SP) 4GB GDDR5 256BIT (DVI/HDMI/DP) AHR937045F,10400,nan,nan,nan,nan
RX6600 8GB GDDR6 128bit HDMI 3xDP  (AXRX 6600 8GBD6-3DH) (173526),33910,PowerColor,nan,nan,nan
GT740 LP Single Fan OEM 2GB GDDR5 128Bit VGA DVI HDMI,6090,Afox,nan,nan,nan
"GT710 AF710-2048D3L5-V4 2GB DDR3 64BIT, LP Heatsink (785020)",3590,Afox,nan,nan,nan
"RTX2060 6GB GDDR6 192BIT, DVI, Display port, HDMI ATX DUAL FAN (AF2060-6144D6H7) (783729)",33190,Afox,nan,nan,nan
GTX750 LP 2GB GDDR5 128BIT DVI-D VGA HDMI DUAL FAN RETAIL PACK (875004),7340,Afox,nan,nan,nan
GTX1660SUPER NB 6G V2-V 6GB GDDR6 192bit DVI HDMI DP (10) (592334),30310,ColorFul,nan,nan,nan
Ninja GTX750 (512SP) 2GB NH75NP025F GDDR5 128bit DVI HDMI CRT,6990,SINOTEX Ninja,nan,nan,nan
"GTX1650 4GB GDDR6 128BIT, ATX DUAL FAN (784788)",17820,Afox,nan,nan,nan
Ninja GTX1660SUPER PCIE (1408SP) NK166SF66F  6GB 192BIT GDDR6 (DVI/HDMI/DP),26740,SINOTEX Ninja,nan,nan,nan
Ninja GTX1650  NK165DF46F PCIE (896SP) 4G 128BIT GDDR6 (DVI/HDMI/DP),17570,SINOTEX Ninja,nan,nan,nan
Ninja GTX1660Ti PCIE (1536P) 6GB 192BIT GDDR6 (DVI/HDMI/DP),25970,SINOTEX Ninja,nan,nan,nan
AFOX Geforce RTX 2060 SUPER,38250,nan,nan,nan,nan
RX6500XT MECH 2X 4G OC GDDR6 64-bit HDMI DP (929985),21460,MSI,nan,nan,nan
NVIDIA A2000 6G (RTL) (25) (900-5G192-2200-000) (400325) / ATX bracket,65670,nVidia,nan,nan,nan
Nvidia T600 4G / ATX Bracket only,37510,nVidia,nan,nan,nan
GPU P400,11590,nVidia,nan,nan,nan
Palit PCI-E 4.0 PA-RTX3080 GAMINGPRO 12G LHR NVIDIA GeForce RTX 3080 12288Mb 320 GDDR6X 1710/19000 HDMIx1 DPx3 HDCP Ret,96060,Palit,nan,nan,nan
Colorful RTX3060 iGame Mini OC 12G L-V 12GB,76680,ColorFul,nan,nan,nan
RX580 GAMING 8GB 2.0 GDDR5 256bit HDMI 3xDP RTL (306489),23720,GigaByte,nan,nan,nan
Gigabyte PCI-E 4.0 GV-R68XTGAMING OC-16GD AMD Radeon RX 6800XT 16384Mb 256 GDDR6 2015/16000/HDMIx2/DPx2/HDCP Ret,90830,GigaByte,nan,nan,nan
Gigabyte PCI-E 4.0 GV-N309TGAMING-24GD NVIDIA GeForce RTX 3090TI 24576Mb 384 GDDR6X 1860/21000 HDMIx1 DPx3 HDCP Ret,178280,GigaByte,nan,nan,nan
"GTX1660SUPER 6GB GDDR6 192BIT, DVI, DisplayPort, HDMI ATX DUAL FAN (AF1660S-6144D6H4) (785013)",29580,Afox,nan,nan,nan
PCIE16 RTX3080 12GB LHR RTX 3080 SG 12G LHR KFA2,98630,KFA2,nan,nan,nan
MSI PCI-E 4.0 RTX 3050 GAMING X 8G NVIDIA GeForce RTX 3050 8192Mb 128 GDDR6 1845/14000 HDMIx1 DPx3 HDCP Ret,34970,MSI,nan,nan,nan
MSI PCI-E 4.0 RTX 3090 Ti GAMING TRIO 24G NVIDIA GeForce RTX 3090TI 24576Mb 384 GDDR6X 1815/21000 HDMIx1 DPx3 HDCP Ret,169700,MSI,nan,nan,nan
Radeon RX 6600 MECH 2X 8G,40100,MSI,nan,nan,nan
PCIE16 RTX3090TI 24GB RTX3090TI GAMEROCK 24G PALIT,165980,Palit,nan,nan,nan
PCIE16 GTX1660 6GB GDDR5 GTX 1660 1-CLICK OC 6G KFA2,26700,KFA2,nan,nan,nan
PCIE16 GTX1660 SUPER 6GB AF1660S-6144D6H4-V2 AFOX,28740,nan,nan,nan,nan
PNY Quadro RTX 6000 VCQRTX6000-PB PCI-E 24576Mb GDDR6 384 Bit Retail,346350,PNY,Quadro RTX 6000,1440,24576
nVidia Quadro RTX 8000 PASSIVE PCI-E 49152Mb GDDR6 384 Bit OEM (900-2G150-0050-000),577240,nVidia,Quadro RTX 8000,1230,49152
